Country,Individualism Score,Democracy Index,Density (P/Km2),Land Area (Km2),Urban Population (%),CPI,CPI Change (%),Life Expectancy,Tax revenue (%)
Sierra Leone,20,5.03,111.0,71740.0,3319366.0,234.16,14.8,54.3,8.6
Singapore,20,6.22,8358.0,716.0,5703569.0,114.41,0.6,83.1,13.1
Slovakia,52,7.07,114.0,49035.0,2930419.0,115.34,2.7,77.2,18.7
Slovenia,27,7.75,103.0,20273.0,1144654.0,111.05,1.6,81.0,18.6
South Africa,65,7.05,49.0,1219090.0,39149717.0,158.93,4.1,63.9,27.5
South Korea,18,8.03,527.0,99720.0,42106719.0,115.16,0.4,82.6,15.6
Spain,51,8.07,94.0,505370.0,37927409.0,110.96,0.7,83.3,14.2
Sri Lanka,35,6.47,341.0,65610.0,4052088.0,155.53,3.5,76.8,11.9
Suriname,47,6.95,4.0,163820.0,384258.0,294.66,22.0,71.6,19.5
Sweden,71,9.39,25.0,450295.0,9021165.0,110.51,1.8,82.5,27.9
Switzerland,68,9.14,219.0,41277.0,6332428.0,99.55,0.4,83.6,10.1
Syria,35,1.43,95.0,185180.0,9358019.0,143.2,36.7,71.8,14.2
Tanzania,25,5.1,67.0,947300.0,20011885.0,187.43,3.5,65.0,11.5
Thailand,20,6.67,137.0,513120.0,35294600.0,113.27,0.7,76.9,14.9
Trinidad and Tobago,16,7.16,273.0,5128.0,741944.0,141.75,1.0,73.4,19.5
Tunisia,40,5.51,76.0,163610.0,8099061.0,155.33,6.7,76.5,21.1
Turkey,37,4.35,110.0,783562.0,63097818.0,234.44,15.2,77.4,17.9
Ukraine,25,5.42,75.0,603550.0,30835699.0,281.66,7.9,71.6,20.1
United Arab Emirates,36,2.9,118.0,83600.0,8479744.0,114.52,-1.9,77.8,0.1
United Kingdom,89,8.28,281.0,243610.0,55908316.0,119.62,1.7,81.3,25.5
United States,91,7.85,36.0,9833517.0,270663028.0,117.24,7.5,78.5,9.6
Uruguay,36,8.91,20.0,176215.0,3303394.0,202.92,7.9,77.8,20.1
Venezuela,12,2.23,32.0,912050.0,25162368.0,2740.27,254.9,72.1,
Vietnam,20,2.73,314.0,331210.0,35332140.0,163.52,2.8,75.3,19.1
Zambia,35,5.8,25.0,752618.0,7871713.0,212.31,9.2,63.5,16.2
